gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit
F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,10438,2264,0,1,0,unknown,2.0,14.0,2.0
F,Y,Y,0,360000.0,State servant,Higher education,Separated,House / apartment,19305,1905,0,0,0,Core staff,1.0,58.0,2.0
M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,23510,1144,0,1,0,Security staff,2.0,37.0,2.0
F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,13779,1878,0,0,0,Sales staff,2.0,12.0,2.0
F,N,Y,1,256500.0,State servant,Higher education,Married,House / apartment,17594,1315,0,1,0,Managers,3.0,14.0,2.0
F,N,Y,2,90000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,12724,2635,1,0,0,Core staff,4.0,36.0,2.0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,16227,4854,0,0,0,Sales staff,2.0,54.0,2.0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,21790,0,0,0,0,unknown,1.0,6.0,2.0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,15035,1128,0,1,0,Cleaning staff,2.0,19.0,2.0
F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18997,2320,0,0,0,HR staff,2.0,58.0,2.0
M,N,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,9154,1051,0,1,0,Laborers,2.0,6.0,2.0
F,N,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,18307,8794,1,1,0,Drivers,2.0,39.0,2.0
F,N,Y,0,247500.0,Commercial associate,Higher education,Widow,House / apartment,23339,1233,0,1,0,unknown,1.0,51.0,2.0
F,Y,Y,0,675000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,18802,913,0,0,0,unknown,2.0,10.0,0.0
F,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,18577,2441,0,0,0,Accountants,1.0,26.0,2.0
F,N,Y,0,189000.0,Pensioner,Incomplete higher,Widow,House / apartment,21845,0,0,0,0,unknown,1.0,55.0,2.0
M,N,N,0,180000.0,Commercial associate,Incomplete higher,Married,House / apartment,11223,2326,0,0,0,unknown,2.0,49.0,2.0
F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20870,1583,0,0,0,Medicine staff,2.0,23.0,2.0
F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,9862,1868,1,0,0,Sales staff,4.0,0.0,1.0
M,N,Y,0,337500.0,Working,Secondary / secondary special,Married,House / apartment,20562,2178,0,0,0,Drivers,2.0,16.0,2.0
F,N,Y,0,162000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,25088,0,0,0,0,unknown,1.0,31.0,0.0
M,Y,Y,0,220500.0,Pensioner,Secondary / secondary special,Married,House / apartment,23113,0,0,0,0,unknown,2.0,38.0,2.0
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,18752,0,0,1,0,unknown,2.0,53.0,2.0
M,N,Y,1,225000.0,Working,Higher education,Married,House / apartment,10382,1081,0,1,0,Sales staff,3.0,8.0,2.0
F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,17402,3153,0,1,0,Core staff,2.0,23.0,2.0
F,N,Y,0,382500.0,Working,Higher education,Married,House / apartment,16482,3413,0,1,1,unknown,2.0,16.0,2.0
F,N,N,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,16898,7310,1,1,0,Core staff,1.0,48.0,2.0
F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,24367,0,0,0,0,unknown,2.0,26.0,2.0
F,Y,Y,1,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,12564,819,1,1,0,Private service staff,3.0,21.0,1.0
M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,17187,178,0,0,0,Drivers,2.0,55.0,2.0
F,Y,N,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,12522,613,1,0,0,Laborers,1.0,17.0,1.0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,11868,1220,0,0,0,Sales staff,2.0,26.0,0.0
F,Y,Y,0,90000.0,Pensioner,Higher education,Married,House / apartment,21452,0,0,0,0,unknown,2.0,16.0,2.0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,22943,0,0,0,0,unknown,2.0,21.0,2.0
F,N,N,0,139500.0,Commercial associate,Higher education,Single / not married,House / apartment,8943,158,0,1,0,Sales staff,1.0,28.0,2.0
M,Y,N,0,382500.0,State servant,Higher education,Married,Office apartment,11960,4174,0,0,0,unknown,2.0,3.0,0.0
F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,13137,2392,1,1,0,Waiters/barmen staff,2.0,54.0,0.0
M,Y,Y,0,261000.0,Working,Incomplete higher,Married,House / apartment,15936,1508,0,1,0,Managers,2.0,31.0,2.0
F,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,15037,2105,0,0,0,Managers,2.0,26.0,2.0
F,N,Y,0,130500.0,Pensioner,Higher education,Civil marriage,House / apartment,21461,0,0,0,0,unknown,2.0,1.0,1.0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,21185,2381,0,0,0,Accountants,1.0,0.0,1.0
F,Y,Y,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,19713,0,0,0,0,unknown,2.0,37.0,2.0
F,N,N,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,18764,9866,0,0,0,Laborers,1.0,49.0,2.0
M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,9943,554,1,0,0,Managers,3.0,17.0,0.0
F,Y,Y,0,108000.0,Working,Secondary / secondary special,Married,Municipal apartment,19316,6039,0,0,0,Core staff,2.0,41.0,2.0
M,Y,N,0,202500.0,Pensioner,Higher education,Married,House / apartment,20195,0,0,0,0,unknown,2.0,42.0,2.0
F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,11353,2316,0,0,1,Accountants,2.0,42.0,2.0
F,Y,Y,1,247500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,17152,1253,0,0,1,Laborers,3.0,53.0,2.0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,22802,0,0,1,0,unknown,1.0,4.0,2.0
F,N,Y,2,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,12486,1816,0,0,0,Laborers,4.0,37.0,2.0
M,N,N,2,247500.0,Working,Secondary / secondary special,Married,Office apartment,13953,3231,1,1,0,Laborers,4.0,11.0,1.0
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,14521,4351,0,1,0,Laborers,2.0,42.0,2.0
F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,19764,6944,0,0,0,Medicine staff,2.0,32.0,2.0
F,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,14060,261,0,0,0,Medicine staff,3.0,55.0,2.0
F,N,Y,1,135000.0,Commercial associate,Incomplete higher,Married,House / apartment,10288,2616,1,1,0,Managers,3.0,27.0,1.0
F,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13926,500,0,0,0,Sales staff,2.0,8.0,2.0
F,N,Y,1,225000.0,Working,Higher education,Married,House / apartment,11549,1086,0,0,0,Drivers,3.0,9.0,2.0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,11226,2236,0,0,0,Drivers,2.0,41.0,2.0
F,Y,Y,0,225000.0,Working,Higher education,Civil marriage,House / apartment,19299,614,0,1,0,unknown,2.0,36.0,2.0
F,N,N,0,180000.0,Working,Secondary / secondary special,Single / not married,With parents,19047,2454,0,0,0,Laborers,1.0,2.0,1.0
F,N,N,0,202500.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,21010,0,0,1,1,unknown,1.0,22.0,2.0
F,N,Y,0,132750.0,Pensioner,Secondary / secondary special,Separated,House / apartment,20375,0,0,0,0,unknown,1.0,16.0,0.0
M,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,8853,984,0,0,1,Sales staff,2.0,35.0,2.0
F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,17701,10773,0,0,0,Medicine staff,2.0,16.0,1.0
M,Y,N,2,135000.0,Working,Higher education,Married,House / apartment,12725,1631,0,0,0,Core staff,4.0,20.0,2.0
M,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,12127,307,0,1,0,Drivers,3.0,4.0,1.0
F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,14601,7900,0,1,0,Laborers,2.0,17.0,1.0
F,N,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,12903,4439,0,0,0,Security staff,4.0,29.0,0.0
F,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,11202,1270,1,0,0,Core staff,1.0,6.0,2.0
M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18160,1032,1,1,0,Managers,2.0,22.0,2.0
F,N,Y,1,675000.0,Commercial associate,Higher education,Married,House / apartment,15843,1398,0,1,0,Sales staff,3.0,32.0,2.0
M,Y,N,0,135000.0,Working,Lower secondary,Married,Co-op apartment,13241,436,1,1,0,Laborers,2.0,33.0,2.0
F,N,Y,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,18067,6517,1,1,1,High skill tech staff,2.0,52.0,0.0
F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,15140,4816,0,1,0,Cleaning staff,2.0,44.0,2.0
F,Y,N,0,81000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,14157,2349,0,0,0,Laborers,2.0,40.0,2.0
F,N,Y,0,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,10153,483,0,0,0,Managers,1.0,27.0,2.0
M,Y,N,2,202500.0,Working,Higher education,Married,House / apartment,11736,727,0,0,0,Drivers,4.0,33.0,2.0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,10851,826,0,0,0,unknown,2.0,41.0,2.0
F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,13384,381,0,0,0,unknown,1.0,28.0,2.0
F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,23537,4888,0,0,0,Medicine staff,2.0,44.0,2.0
F,N,Y,1,112500.0,Working,Secondary / secondary special,Widow,House / apartment,14199,2970,1,1,0,Private service staff,2.0,39.0,2.0
M,Y,Y,1,270000.0,Working,Higher education,Married,House / apartment,17193,1137,0,0,0,Laborers,3.0,7.0,0.0
F,N,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16234,6075,0,1,0,Laborers,3.0,7.0,1.0
M,N,Y,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,17995,4034,0,0,0,Managers,2.0,46.0,2.0
F,N,Y,0,148500.0,Working,Incomplete higher,Single / not married,House / apartment,9924,1830,0,1,0,Medicine staff,1.0,42.0,0.0
F,Y,Y,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,21216,3641,0,0,0,Managers,2.0,25.0,1.0
M,N,Y,0,225000.0,Working,Incomplete higher,Married,House / apartment,11616,3344,1,1,0,Laborers,2.0,54.0,2.0
M,Y,N,3,225000.0,Working,Higher education,Married,House / apartment,13909,328,1,0,1,High skill tech staff,5.0,55.0,0.0
F,Y,Y,2,225000.0,Commercial associate,Higher education,Married,House / apartment,14100,3623,0,0,0,Private service staff,4.0,6.0,2.0
M,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,10583,1296,0,0,0,Laborers,2.0,47.0,2.0
M,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,13536,2092,0,0,0,Core staff,4.0,44.0,2.0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,24239,0,0,0,0,unknown,1.0,31.0,2.0
M,Y,N,0,382500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,15215,1534,0,1,0,Managers,2.0,12.0,2.0
F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,19702,9870,1,1,0,unknown,2.0,28.0,2.0
F,N,Y,2,202500.0,Working,Secondary / secondary special,Married,Municipal apartment,11468,4448,0,0,0,Laborers,4.0,21.0,2.0
F,N,Y,0,193500.0,State servant,Secondary / secondary special,Married,Office apartment,22168,10155,0,0,0,Cooking staff,2.0,21.0,2.0
F,N,Y,1,337500.0,Commercial associate,Higher education,Single / not married,House / apartment,14408,431,0,0,0,Accountants,2.0,23.0,2.0
M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,22253,0,0,0,0,unknown,2.0,45.0,2.0
M,Y,N,1,292500.0,Working,Secondary / secondary special,Separated,House / apartment,12692,1056,0,1,0,Laborers,2.0,19.0,2.0
M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,9957,921,1,0,0,Drivers,3.0,22.0,1.0
F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,23097,0,0,0,0,unknown,2.0,10.0,2.0
F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,15462,2969,0,0,1,Medicine staff,2.0,7.0,1.0
F,N,Y,0,256500.0,Commercial associate,Higher education,Separated,House / apartment,19604,970,0,0,0,Managers,1.0,49.0,1.0
F,N,Y,0,193500.0,Working,Higher education,Single / not married,House / apartment,17081,4783,0,1,0,Laborers,1.0,11.0,2.0
F,N,N,0,315000.0,Working,Higher education,Married,House / apartment,18507,5857,1,1,0,Core staff,2.0,37.0,2.0
F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,12590,928,0,0,0,High skill tech staff,3.0,37.0,2.0
F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,21426,0,0,1,0,unknown,2.0,39.0,2.0
M,Y,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,22731,0,0,1,0,unknown,2.0,10.0,2.0
M,N,Y,1,157500.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,13273,1024,0,0,0,Drivers,3.0,6.0,0.0
F,N,N,0,292500.0,Working,Secondary / secondary special,Separated,Municipal apartment,10360,3210,0,0,0,Managers,1.0,31.0,2.0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,9655,156,0,0,0,unknown,1.0,38.0,2.0
M,Y,N,0,135000.0,Working,Lower secondary,Married,Co-op apartment,13241,436,1,1,0,Laborers,2.0,39.0,2.0
M,N,Y,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,15016,3411,0,0,0,Laborers,4.0,39.0,2.0
F,N,N,1,180000.0,Commercial associate,Incomplete higher,Married,House / apartment,14687,7401,1,1,0,High skill tech staff,3.0,55.0,1.0
F,N,Y,1,67500.0,Working,Secondary / secondary special,Separated,House / apartment,11126,2087,1,1,0,Accountants,2.0,40.0,0.0
M,Y,Y,1,292500.0,Commercial associate,Higher education,Married,House / apartment,12569,3322,0,0,0,unknown,3.0,48.0,2.0
M,Y,Y,2,216000.0,State servant,Higher education,Married,House / apartment,11121,2565,0,0,0,High skill tech staff,4.0,22.0,2.0
M,N,N,0,112500.0,Working,Secondary / secondary special,Civil marriage,Rented apartment,14778,2530,0,0,0,unknown,2.0,34.0,0.0
M,N,Y,0,675000.0,Commercial associate,Higher education,Married,House / apartment,17754,1109,1,1,1,Managers,2.0,9.0,2.0
M,Y,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,14888,7756,0,0,0,Laborers,2.0,7.0,0.0
M,Y,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,22020,0,0,1,0,unknown,2.0,22.0,2.0
F,Y,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,21955,0,0,1,0,unknown,2.0,6.0,0.0
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,22861,0,0,1,0,unknown,2.0,42.0,1.0
M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,20531,2146,0,0,0,Security staff,2.0,19.0,1.0
M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,20142,108,0,0,0,High skill tech staff,1.0,14.0,2.0
F,Y,Y,0,135000.0,Working,Higher education,Married,House / apartment,13474,2894,1,1,0,Accountants,2.0,48.0,1.0
F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,9894,2499,1,1,0,Sales staff,2.0,36.0,0.0
F,N,Y,0,135000.0,Pensioner,Higher education,Married,House / apartment,23640,0,0,1,1,unknown,2.0,14.0,2.0
M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,19996,691,0,0,0,Managers,2.0,19.0,1.0
F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,18817,1094,0,0,0,Laborers,2.0,30.0,2.0
M,Y,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,21408,0,0,1,0,unknown,2.0,13.0,0.0
M,Y,Y,2,171000.0,Working,Secondary / secondary special,Married,House / apartment,13344,1230,0,0,0,Core staff,4.0,54.0,2.0
M,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,8353,1081,1,0,1,Core staff,2.0,18.0,2.0
F,N,Y,1,117000.0,Working,Higher education,Married,House / apartment,18989,551,1,0,0,Cleaning staff,3.0,8.0,2.0
F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,22100,578,0,0,1,Managers,2.0,20.0,2.0
F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,14642,345,0,0,0,Cooking staff,3.0,38.0,2.0
M,N,N,0,180000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,10294,1992,0,0,0,Laborers,1.0,51.0,2.0
M,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11963,3742,0,0,1,Managers,2.0,6.0,1.0
F,N,Y,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,10707,765,0,0,0,HR staff,1.0,10.0,2.0
F,Y,Y,0,382500.0,Commercial associate,Higher education,Married,House / apartment,20054,6427,0,1,0,Managers,2.0,34.0,2.0
M,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,8533,582,0,0,0,Laborers,1.0,5.0,0.0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,14926,789,0,0,0,Cooking staff,2.0,15.0,2.0
F,N,N,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,14719,4082,0,0,0,Core staff,2.0,53.0,2.0
M,Y,Y,1,810000.0,Commercial associate,Incomplete higher,Civil marriage,Office apartment,17922,3455,0,0,0,Security staff,3.0,38.0,2.0
F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,20470,9269,0,0,0,Core staff,1.0,44.0,2.0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,20462,0,0,1,0,unknown,1.0,5.0,0.0
F,N,N,1,157500.0,Working,Higher education,Single / not married,House / apartment,11828,2135,1,1,0,Accountants,2.0,13.0,2.0
M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,10952,3577,1,0,0,Laborers,2.0,50.0,0.0
F,N,N,0,202500.0,Commercial associate,Higher education,Single / not married,House / apartment,24611,7736,0,1,0,Core staff,1.0,14.0,2.0
F,N,Y,0,225000.0,Working,Higher education,Widow,House / apartment,20538,5525,1,0,0,Sales staff,1.0,45.0,2.0
M,N,Y,0,225000.0,Working,Secondary / secondary special,Married,With parents,18630,1462,0,0,0,Laborers,2.0,39.0,2.0
M,Y,N,1,180000.0,Commercial associate,Higher education,Married,House / apartment,12925,1693,0,0,1,IT staff,3.0,14.0,2.0
M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,18672,2477,1,1,0,Laborers,2.0,4.0,0.0
F,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,21012,0,0,0,0,unknown,1.0,51.0,2.0
F,N,N,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13630,3230,0,1,0,High skill tech staff,2.0,24.0,2.0
F,N,Y,0,180000.0,Pensioner,Higher education,Separated,House / apartment,23789,0,0,0,0,unknown,1.0,2.0,0.0
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,8655,1067,0,1,1,Core staff,2.0,4.0,0.0
F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,19276,0,0,0,0,unknown,2.0,15.0,0.0
F,Y,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,21906,0,0,0,0,unknown,2.0,15.0,0.0
M,Y,Y,0,168750.0,Working,Secondary / secondary special,Married,House / apartment,16031,1797,0,0,0,Laborers,2.0,4.0,2.0
F,N,Y,0,171000.0,Working,Higher education,Single / not married,House / apartment,10224,2073,0,0,0,Laborers,1.0,40.0,2.0
F,N,N,1,81000.0,Working,Secondary / secondary special,Married,House / apartment,14290,1308,0,1,0,Cooking staff,3.0,29.0,2.0
M,Y,Y,0,202500.0,Working,Higher education,Separated,House / apartment,10763,302,0,0,0,Sales staff,1.0,47.0,2.0
M,Y,Y,1,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13940,617,0,0,0,Managers,3.0,44.0,2.0
M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,22946,0,0,0,0,unknown,2.0,1.0,1.0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,9530,430,1,0,0,Security staff,1.0,47.0,1.0
F,N,Y,0,202500.0,Commercial associate,Higher education,Single / not married,Co-op apartment,12196,2218,0,0,0,Accountants,1.0,52.0,0.0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,19452,1218,1,0,0,Sales staff,2.0,8.0,2.0
M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,With parents,11176,3079,1,0,0,unknown,2.0,41.0,2.0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,12311,2461,1,1,0,Laborers,2.0,25.0,1.0
F,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,14357,3120,1,1,0,Sales staff,3.0,56.0,0.0
M,Y,N,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,14869,6904,0,1,0,Laborers,2.0,18.0,1.0
M,N,N,1,315000.0,Commercial associate,Higher education,Married,House / apartment,18321,110,0,1,0,unknown,3.0,28.0,2.0
F,N,Y,1,135000.0,Commercial associate,Incomplete higher,Married,House / apartment,9734,2049,1,1,1,Core staff,3.0,46.0,2.0
M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,11653,1617,1,0,0,High skill tech staff,3.0,53.0,2.0
F,N,Y,2,90000.0,Working,Higher education,Married,House / apartment,12496,597,0,0,0,unknown,4.0,51.0,1.0
F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12570,3095,1,0,0,Managers,2.0,25.0,2.0
F,N,Y,0,369000.0,State servant,Secondary / secondary special,Married,House / apartment,17965,2881,0,0,0,Medicine staff,2.0,34.0,0.0
F,Y,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,15330,1014,1,1,0,Managers,2.0,7.0,2.0
M,N,N,0,270000.0,Working,Incomplete higher,Married,House / apartment,14279,2160,0,1,0,Drivers,2.0,32.0,2.0
F,N,N,0,49500.0,Pensioner,Secondary / secondary special,Married,House / apartment,23753,0,0,0,0,unknown,2.0,5.0,1.0
F,N,Y,0,175950.0,Working,Secondary / secondary special,Married,House / apartment,20462,1881,0,0,0,unknown,2.0,13.0,2.0
M,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,18230,444,1,1,0,Managers,3.0,5.0,2.0
F,Y,Y,1,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,13548,949,0,0,0,Laborers,2.0,46.0,2.0
M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,23646,0,0,0,0,unknown,2.0,7.0,2.0
M,Y,Y,2,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,15277,2472,0,0,0,Drivers,3.0,48.0,0.0
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,With parents,16271,3111,0,0,0,Core staff,2.0,27.0,1.0
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,20578,0,0,1,0,unknown,2.0,9.0,2.0
F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,18715,2867,1,0,0,Secretaries,2.0,48.0,2.0
F,N,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,22302,0,0,0,0,unknown,2.0,13.0,2.0
M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,12488,747,0,0,1,Laborers,2.0,0.0,1.0
M,Y,Y,1,292500.0,Commercial associate,Higher education,Married,House / apartment,12569,3322,0,0,0,unknown,3.0,25.0,0.0
F,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17401,9559,0,0,0,Realty agents,2.0,21.0,2.0
F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,14461,1589,0,1,0,Laborers,3.0,22.0,2.0
M,Y,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,13095,217,0,1,0,Laborers,4.0,48.0,1.0
F,N,Y,0,270000.0,Working,Higher education,Single / not married,House / apartment,16668,377,0,0,0,Sales staff,1.0,29.0,2.0
F,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,18984,10821,0,0,0,Laborers,2.0,55.0,2.0
M,N,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,15004,900,0,1,0,unknown,4.0,30.0,0.0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,15161,2087,1,0,0,Sales staff,2.0,47.0,2.0
F,N,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,18770,124,0,0,0,Laborers,2.0,28.0,2.0
F,N,N,0,90000.0,State servant,Higher education,Married,Rented apartment,15859,1536,0,0,0,Core staff,2.0,36.0,1.0
M,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15296,4244,1,0,0,Drivers,3.0,51.0,1.0
F,N,Y,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13116,857,0,0,0,unknown,3.0,38.0,2.0
F,N,Y,0,238500.0,Pensioner,Secondary / secondary special,Married,House / apartment,23171,0,0,0,0,unknown,2.0,43.0,2.0
F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,12974,2379,0,0,0,Laborers,4.0,38.0,2.0
F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,10317,2178,0,0,0,Core staff,2.0,46.0,2.0
F,N,N,2,225000.0,State servant,Higher education,Married,With parents,10596,3365,0,0,0,Core staff,4.0,22.0,2.0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,17202,1787,0,0,0,Sales staff,2.0,4.0,0.0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20755,0,0,0,0,unknown,2.0,13.0,2.0
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,21187,0,0,0,0,unknown,1.0,27.0,1.0
F,N,Y,1,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,15926,3327,0,0,0,unknown,2.0,51.0,1.0
